,gameId,date,time,hId,hScore,vId,vScore
129,0022100064,20211027,10:30 PM ET,1610612746,79,1610612739,92
130,0022100065,20211028,7:00 PM ET,1610612755,110,1610612765,102
131,0022100066,20211028,7:00 PM ET,1610612764,122,1610612737,111
132,0022100067,20211028,8:00 PM ET,1610612741,103,1610612752,104
133,0022100068,20211028,8:00 PM ET,1610612745,91,1610612762,122
134,0022100069,20211028,8:30 PM ET,1610612742,104,1610612759,99
135,0022100070,20211028,10:00 PM ET,1610612744,101,1610612763,104
136,0022100071,20211029,7:00 PM ET,1610612761,110,1610612753,109
137,0022100072,20211029,7:30 PM ET,1610612751,105,1610612754,98
138,0022100073,20211029,7:30 PM ET,1610612748,114,1610612766,99
139,0022100074,20211029,8:00 PM ET,1610612740,109,1610612758,113
140,0022100075,20211029,10:00 PM ET,1610612743,106,1610612742,75
141,0022100076,20211029,10:00 PM ET,1610612757,111,1610612746,92
142,0022100077,20211029,10:30 PM ET,1610612747,113,1610612739,101
143,0022100078,20211030,5:00 PM ET,1610612764,115,1610612738,112
144,0022100079,20211030,7:00 PM ET,1610612765,110,1610612753,103
145,0022100080,20211030,7:00 PM ET,1610612740,117,1610612752,123
146,0022100081,20211030,7:30 PM ET,1610612754,94,1610612761,97
147,0022100082,20211030,7:30 PM ET,1610612755,122,1610612737,94
148,0022100083,20211030,8:00 PM ET,1610612741,107,1610612762,99
149,0022100084,20211030,8:00 PM ET,1610612763,103,1610612748,129
150,0022100085,20211030,8:00 PM ET,1610612749,93,1610612759,102
151,0022100086,20211030,8:30 PM ET,1610612744,103,1610612760,82
152,0022100087,20211030,9:00 PM ET,1610612750,91,1610612743,93
153,0022100088,20211030,10:00 PM ET,1610612756,101,1610612739,92
154,0022100089,20211031,3:30 PM ET,1610612742,105,1610612758,99
155,0022100090,20211031,7:00 PM ET,1610612766,125,1610612757,113
156,0022100091,20211031,7:00 PM ET,1610612749,95,1610612762,107
157,0022100092,20211031,7:30 PM ET,1610612751,117,1610612765,91
158,0022100093,20211031,10:30 PM ET,1610612747,95,1610612745,85
159,0022100094,20211101,7:00 PM ET,1610612766,110,1610612739,113
160,0022100095,20211101,7:00 PM ET,1610612754,131,1610612759,118
161,0022100096,20211101,7:00 PM ET,1610612755,113,1610612757,103
162,0022100097,20211101,7:30 PM ET,1610612737,118,1610612764,111
163,0022100098,20211101,7:30 PM ET,1610612738,114,1610612741,128
164,0022100099,20211101,7:30 PM ET,1610612752,104,1610612761,113
165,0022100100,20211101,8:00 PM ET,1610612763,106,1610612743,97
166,0022100101,20211101,8:00 PM ET,1610612750,97,1610612753,115
167,0022100102,20211101,10:30 PM ET,1610612746,99,1610612760,94
168,0022100103,20211102,7:00 PM ET,1610612765,89,1610612749,117
169,0022100104,20211102,7:30 PM ET,1610612742,110,1610612748,125
170,0022100105,20211102,9:00 PM ET,1610612762,119,1610612758,113
171,0022100106,20211102,10:00 PM ET,1610612756,112,1610612740,100
172,0022100107,20211102,10:30 PM ET,1610612747,119,1610612745,117
173,0022100108,20211103,7:00 PM ET,1610612739,107,1610612757,104
174,0022100109,20211103,7:00 PM ET,1610612754,111,1610612752,98
175,0022100110,20211103,7:00 PM ET,1610612753,79,1610612738,92
176,0022100111,20211103,7:00 PM ET,1610612755,103,1610612741,98
177,0022100112,20211103,7:00 PM ET,1610612764,100,1610612761,109
178,0022100113,20211103,7:30 PM ET,1610612751,117,1610612737,108
179,0022100114,20211103,8:00 PM ET,1610612763,108,1610612743,106
180,0022100115,20211103,8:00 PM ET,1610612750,115,1610612746,126
181,0022100116,20211103,8:30 PM ET,1610612759,108,1610612742,109
182,0022100117,20211103,10:00 PM ET,1610612744,114,1610612766,92
183,0022100118,20211103,10:00 PM ET,1610612758,112,1610612740,99
184,0022100119,20211104,7:00 PM ET,1610612765,98,1610612755,109
185,0022100120,20211104,7:30 PM ET,1610612737,98,1610612762,116
186,0022100121,20211104,7:30 PM ET,1610612748,78,1610612738,95
187,0022100122,20211104,10:00 PM ET,1610612756,123,1610612745,111
188,0022100123,20211104,10:30 PM ET,1610612747,104,1610612760,107
189,0022100124,20211105,7:00 PM ET,1610612765,90,1610612751,96
190,0022100125,20211105,7:00 PM ET,1610612753,89,1610612759,102
191,0022100126,20211105,7:00 PM ET,1610612764,115,1610612763,87
192,0022100127,20211105,7:30 PM ET,1610612761,101,1610612739,102
193,0022100128,20211105,7:30 PM ET,1610612749,98,1610612752,113
194,0022100129,20211105,8:00 PM ET,1610612750,84,1610612746,104
195,0022100130,20211105,10:00 PM ET,1610612744,126,1610612740,85
196,0022100131,20211105,10:00 PM ET,1610612757,110,1610612754,106
197,0022100132,20211105,10:00 PM ET,1610612758,140,1610612766,110
198,0022100133,20211106,5:00 PM ET,1610612743,95,1610612745,94
199,0022100134,20211106,7:30 PM ET,1610612748,118,1610612762,115
200,0022100135,20211106,8:00 PM ET,1610612741,105,1610612755,114
201,0022100136,20211106,8:30 PM ET,1610612742,107,1610612738,104
202,0022100137,20211106,10:00 PM ET,1610612756,121,1610612737,117
203,0022100138,20211106,10:30 PM ET,1610612757,105,1610612747,90
204,0022100139,20211107,3:30 PM ET,1610612761,103,1610612751,116
