,MinutesPlayed,ScoreMargin,Status
0,6.72,-14.0,1.0
1,2.88,0.0,0.0
2,2.4,1.0,1.0
3,4.8,5.0,1.0
4,2.4,0.0,0.0
5,4.8,-1.0,1.0
6,5.76,-10.0,1.0
7,3.36,0.0,0.0
8,2.4,-8.0,1.0
9,12.0,4.0,1.0
