,MinutesPlayed,ScoreMargin,Status
0,9.6,0.0,0.0
1,2.4,1.0,1.0
2,4.8,5.0,1.0
3,16.8,0.0,0.0
4,2.4,-8.0,1.0
5,12.0,4.0,1.0
