,PlayerName,Date,Team,Opp,min_0,min_1,min_2,min_3,min_4,min_5,min_6,min_7,min_8,min_9,min_10,min_11,min_12,min_13,min_14,min_15,min_16,min_17,min_18,min_19,min_20,min_21,min_22,min_23,min_24,min_25,min_26,min_27,min_28,min_29,min_30,min_31,min_32,min_33,min_34,min_35,min_36,min_37,min_38,min_39,min_40,min_41,min_42,min_43,min_44,min_45,min_46,min_47
32,Grayson Allen,202110250,MIL,IND,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.0,0.0,0.05,1.0,1.0,1.0,1.0,1.0,0.35,0.0,0.0,0.0,0.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.0,0.48333333333333334,1.0,1.0,0.43333333333333335
33,Giannis Antetokounmpo,202110250,MIL,IND,1.0,1.0,1.0,1.0,0.6333333333333333,0.0,0.0,0.0,0.0,0.7333333333333333,1.0,0.5166666666666667,0.0,0.0,0.0,0.65,1.0,1.0,1.0,1.0,0.23333333333333334,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03333333333333333,0.0,0.48333333333333334,1.0,1.0,0.95,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.43333333333333335
34,Thanasis Antetokounmpo,202110250,MIL,IND,1.0,1.0,0.8666666666666667,0.0,0.13333333333333333,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.95,1.0,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.95,0.85,1.0,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
35,George Hill,202110250,MIL,IND,1.0,1.0,1.0,1.0,1.0,1.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,1.0,1.0,1.0,0.6166666666666667,0.0,0.03333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,0.0,0.0,0.0
36,Khris Middleton,202110250,MIL,IND,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.0,0.0,0.0,0.6166666666666667,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.0,0.0,0.1,1.0,1.0,1.0,1.0,1.0,0.3,0.9333333333333333,1.0,0.31666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333
37,Pat Connaughton,202110250,MIL,IND,0.0,0.0,0.13333333333333333,1.0,1.0,1.0,1.0,0.8833333333333333,0.0,0.6833333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.016666666666666666,0.0,0.0,0.0,0.5833333333333334,1.0,1.0,1.0,0.0,0.0,0.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.7166666666666667,0.03333333333333333,1.0,1.0,1.0,1.0,0.03333333333333333,0.0,0.2,1.0,1.0,1.0,1.0,0.3333333333333333
38,Sandro Mamukelashvili,202110250,MIL,IND,0.0,0.0,0.0,0.0,0.0,0.7,1.0,1.0,1.0,0.13333333333333333,0.0,0.18333333333333332,0.05,0.0,0.08333333333333333,0.15,0.0,0.0,0.0,0.0,0.55,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36666666666666664,1.0,1.0,0.36666666666666664,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48333333333333334
39,Jordan Nwora,202110250,MIL,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,1.0,1.0,1.0,0.23333333333333334,1.0,0.06666666666666667,0.0,0.016666666666666666,1.0,1.0,1.0,1.0,1.0,0.48333333333333334,0.0,0.8833333333333333,0.0,0.0,0.0,0.0,0.0,0.48333333333333334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
40,Justin Robinson,202110250,MIL,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9333333333333333,1.0,1.0,1.0,0.8166666666666667,0.95,1.0,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.11666666666666667,1.0,1.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.31666666666666665,1.0,1.0,1.0,1.0,1.0,1.0,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43333333333333335
41,Rodney Hood,202110250,MIL,IND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8666666666666667,1.0,1.0,1.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43333333333333335,1.0,1.0,1.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
